Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
ODI,Australia,New Zealand,Melbourne Cricket Ground,Australia,Australia,bat,Australia,216,10,210,9
ODI,New Zealand,Sri Lanka,Bellerive Oval,Australia,Sri Lanka,bowl,Sri Lanka,199,7,200,6
ODI,New Zealand,Australia,Brisbane Cricket Ground,Australia,Australia,bowl,Australia,176,5,177,5
ODI,Sri Lanka,Australia,Sydney Cricket Ground,Australia,Australia,bowl,Australia,188,9,189,7
ODI,England,New Zealand,McLean Park,New Zealand,New Zealand,bowl,New Zealand,219,10,223,3
ODI,India,West Indies,Sharjah Cricket Association Stadium,United Arab Emirates,India,bat,West Indies,169,7,175,2
ODI,Sri Lanka,India,National Stadium,Bangladesh,India,bowl,Sri Lanka,271,6,254,10
ODI,New Zealand,India,Barabati Stadium,India,New Zealand,bat,India,160,7,161,5
ODI,West Indies,Australia,Melbourne Cricket Ground,Australia,West Indies,bat,West Indies,236,10,202,10
ODI,West Indies,Pakistan,Bellerive Oval,Australia,Pakistan,bowl,West Indies,244,4,227,8
ODI,England,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Australia,190,10,191,5
ODI,Australia,England,Old Trafford,England,Australia,bat,England,222,8,226,4
ODI,England,Australia,Lord's,England,Australia,bowl,Australia,236,9,240,5
ODI,Australia,England,Edgbaston,England,England,bowl,England,179,9,180,8
ODI,New Zealand,Pakistan,Lancaster Park,New Zealand,Pakistan,bowl,New Zealand,187,10,165,10
ODI,New Zealand,England,St Helen's,England,New Zealand,bat,England,158,10,159,3
ODI,England,New Zealand,Old Trafford,England,New Zealand,bowl,0,167,8,0,0
ODI,West Indies,England,Headingley,England,West Indies,bat,England,181,10,182,9
ODI,England,West Indies,Kennington Oval,England,England,bat,West Indies,189,9,190,2
ODI,New Zealand,Australia,Carisbrook,New Zealand,New Zealand,bat,Australia,194,9,195,3
ODI,Australia,New Zealand,Lancaster Park,New Zealand,Australia,bat,Australia,265,5,234,6
ODI,India,England,Headingley,England,England,bowl,England,265,10,266,6
ODI,India,England,Kennington Oval,England,India,bat,England,171,10,172,4
ODI,England,Pakistan,Trent Bridge,England,England,bat,Pakistan,244,4,246,3
ODI,England,Pakistan,Edgbaston,England,Pakistan,bowl,Pakistan,81,9,84,2
ODI,Australia,England,Melbourne Cricket Ground,Australia,England,bowl,England,190,10,191,7
ODI,England,New Zealand,Carisbrook,New Zealand,New Zealand,bowl,0,136,10,15,0
ODI,New Zealand,England,Basin Reserve,New Zealand,New Zealand,bat,0,227,10,35,1
ODI,England,India,Lord's,England,England,bat,England,334,4,132,3
ODI,New Zealand,East Africa,Edgbaston,England,New Zealand,bat,New Zealand,309,5,128,8
ODI,Australia,Pakistan,Headingley,England,Australia,bat,Australia,278,7,205,10
ODI,Sri Lanka,West Indies,Old Trafford,England,West Indies,bowl,West Indies,86,10,87,1
ODI,England,New Zealand,Trent Bridge,England,New Zealand,bowl,England,266,6,186,10
ODI,East Africa,India,Headingley,England,East Africa,bat,India,120,10,123,0
ODI,Australia,Sri Lanka,Kennington Oval,England,Sri Lanka,bowl,Australia,328,5,276,4
