Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
T20,India,Australia,Melbourne Cricket Ground,Australia,India,bat,Australia,74,10,75,1
T20,England,New Zealand,Jade Stadium,New Zealand,England,bat,England,193,8,143,8
T20,Scotland,Netherlands,Civil Service Cricket Club,Ireland,Netherlands,bowl,Netherlands,107,8,110,5
T20,Kenya,Scotland,Civil Service Cricket Club,Ireland,Kenya,bat,Scotland,106,9,107,1
T20,Zimbabwe,Sri Lanka,Maple Leaf North-West Ground,Canada,Sri Lanka,bowl,Sri Lanka,106,8,107,5
T20,Pakistan,Canada,Maple Leaf North-West Ground,Canada,Pakistan,bat,Pakistan,137,7,102,9
T20,Zimbabwe,Pakistan,Maple Leaf North-West Ground,Canada,Zimbabwe,bat,Pakistan,107,8,110,3
T20,Zimbabwe,Canada,Maple Leaf North-West Ground,Canada,Canada,bowl,Zimbabwe,184,5,75,10
T20,Pakistan,Sri Lanka,Maple Leaf North-West Ground,Canada,Sri Lanka,bowl,Sri Lanka,132,7,133,5
T20,South Africa,Bangladesh,New Wanderers Stadium,South Africa,Bangladesh,bowl,South Africa,118,7,109,8
T20,Australia,New Zealand,Eden Park,New Zealand,Australia,bat,Australia,214,5,170,10
T20,England,Australia,The Rose Bowl,England,England,bat,England,179,8,79,10
T20,South Africa,New Zealand,New Wanderers Stadium,South Africa,New Zealand,bowl,New Zealand,133,10,134,5
T20,Australia,South Africa,Brisbane Cricket Ground,Australia,Australia,bat,Australia,209,3,114,10
T20,West Indies,New Zealand,Eden Park,New Zealand,New Zealand,bowl,0,126,7,126,8
T20,South Africa,Australia,New Wanderers Stadium,South Africa,South Africa,bat,South Africa,201,4,199,7
T20,Sri Lanka,England,The Rose Bowl,England,Sri Lanka,bat,Sri Lanka,163,10,161,5
T20,England,Pakistan,County Ground,England,England,bat,Pakistan,144,7,148,5
T20,Bangladesh,Zimbabwe,Khulna Divisional Stadium,Bangladesh,Zimbabwe,bowl,Bangladesh,166,10,123,9
T20,South Africa,India,New Wanderers Stadium,South Africa,South Africa,bat,India,126,9,127,4
T20,New Zealand,Sri Lanka,Westpac Stadium,New Zealand,New Zealand,bat,Sri Lanka,162,8,62,1
T20,Sri Lanka,New Zealand,Eden Park,New Zealand,New Zealand,bowl,New Zealand,115,10,116,5
T20,Australia,England,Sydney Cricket Ground,Australia,Australia,bat,Australia,221,5,144,9
T20,Pakistan,South Africa,New Wanderers Stadium,South Africa,South Africa,bowl,South Africa,129,8,132,0
T20,West Indies,England,Kennington Oval,England,West Indies,bat,West Indies,208,8,193,7
T20,West Indies,England,Kennington Oval,England,West Indies,bat,England,169,7,173,5
T20,Kenya,Bangladesh,Gymkhana Club Ground,Kenya,Bangladesh,bowl,Bangladesh,138,7,139,5
T20,Pakistan,Bangladesh,Gymkhana Club Ground,Kenya,Bangladesh,bowl,Pakistan,191,7,161,7
T20,Kenya,Pakistan,Gymkhana Club Ground,Kenya,Kenya,bat,Pakistan,92,10,93,2
T20,West Indies,South Africa,New Wanderers Stadium,South Africa,South Africa,bowl,South Africa,205,6,208,2
T20,Kenya,New Zealand,Kingsmead,South Africa,New Zealand,bowl,New Zealand,73,10,74,1
T20,New Zealand,Australia,AMI Stadium,New Zealand,New Zealand,bat,0,214,6,214,4
T20,Pakistan,Scotland,Kingsmead,South Africa,Scotland,bowl,Pakistan,171,9,120,10
T20,Sri Lanka,Pakistan,Lord's,England,Sri Lanka,bat,Sri Lanka,150,7,131,9
T20,Australia,Zimbabwe,Newlands,South Africa,Australia,bat,Zimbabwe,138,9,139,5
T20,West Indies,Bangladesh,New Wanderers Stadium,South Africa,Bangladesh,bowl,Bangladesh,164,8,165,4
T20,England,Zimbabwe,Newlands,South Africa,England,bat,England,188,9,138,7
T20,India,Scotland,Kingsmead,South Africa,Scotland,bowl,0,0,0,0,0
T20,Sri Lanka,Kenya,New Wanderers Stadium,South Africa,Kenya,bowl,Sri Lanka,260,6,88,9
T20,England,Australia,Newlands,South Africa,England,bat,Australia,135,10,136,2
T20,India,Pakistan,Kingsmead,South Africa,Pakistan,bowl,0,141,9,141,7
T20,New Zealand,Sri Lanka,New Wanderers Stadium,South Africa,New Zealand,bat,Sri Lanka,164,7,168,3
T20,Bangladesh,South Africa,Newlands,South Africa,South Africa,bowl,South Africa,144,10,146,3
T20,New Zealand,India,New Wanderers Stadium,South Africa,India,bowl,New Zealand,190,10,180,9
T20,Bangladesh,Australia,Newlands,South Africa,Australia,bowl,Australia,123,8,124,1
T20,South Africa,England,Newlands,South Africa,England,bowl,South Africa,154,8,135,7
T20,Pakistan,Sri Lanka,New Wanderers Stadium,South Africa,Sri Lanka,bowl,Pakistan,189,6,156,9
T20,New Zealand,England,Kingsmead,South Africa,England,bowl,New Zealand,164,9,159,8
T20,Australia,Pakistan,New Wanderers Stadium,South Africa,Pakistan,bowl,Pakistan,164,7,165,4
T20,Sri Lanka,Bangladesh,New Wanderers Stadium,South Africa,Bangladesh,bowl,Sri Lanka,147,5,83,10
T20,New Zealand,South Africa,Kingsmead,South Africa,South Africa,bowl,South Africa,153,8,158,4
T20,India,England,Kingsmead,South Africa,India,bat,India,218,4,200,6
T20,Sri Lanka,Australia,Newlands,South Africa,Australia,bowl,Australia,101,10,102,0
T20,Bangladesh,Pakistan,Newlands,South Africa,Pakistan,bowl,Pakistan,140,10,141,6
T20,India,South Africa,Kingsmead,South Africa,India,bat,India,153,5,116,9
T20,New Zealand,Pakistan,Newlands,South Africa,New Zealand,bat,Pakistan,143,8,147,4
T20,India,Australia,Kingsmead,South Africa,India,bat,India,188,5,173,7
T20,India,Pakistan,New Wanderers Stadium,South Africa,India,bat,India,157,5,152,10
T20,Australia,India,Brabourne Stadium,India,Australia,bat,India,166,5,167,3
T20,New Zealand,South Africa,New Wanderers Stadium,South Africa,South Africa,bowl,South Africa,129,7,131,7
T20,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,Australia,bat,Australia,186,6,132,10
T20,South Africa,West Indies,St George's Park,South Africa,West Indies,bowl,West Indies,58,8,60,5
T20,West Indies,South Africa,New Wanderers Stadium,South Africa,South Africa,bowl,South Africa,131,7,134,6
T20,England,New Zealand,Eden Park,New Zealand,New Zealand,bowl,England,184,8,152,10
T20,Pakistan,Bangladesh,National Stadium,Pakistan,Pakistan,bat,Pakistan,203,5,101,10
T20,New Zealand,England,Old Trafford,England,England,bowl,England,123,9,127,1
T20,Australia,West Indies,Kensington Oval,West Indies,West Indies,bowl,West Indies,97,3,102,3
T20,Netherlands,Kenya,Civil Service Cricket Club,Ireland,Kenya,bowl,Netherlands,153,5,134,9
T20,Scotland,Ireland,Civil Service Cricket Club,Ireland,Scotland,bat,Ireland,117,10,118,6
T20,New Zealand,West Indies,Seddon Park,New Zealand,New Zealand,bat,New Zealand,191,9,155,7
T20,Netherlands,Canada,Civil Service Cricket Club,Ireland,Netherlands,bat,Canada,97,10,99,6
T20,Bermuda,Scotland,Civil Service Cricket Club,Ireland,Scotland,bowl,Scotland,99,7,100,2
T20,Canada,Kenya,Civil Service Cricket Club,Ireland,Canada,bat,Kenya,91,10,92,6
T20,Ireland,Bermuda,Civil Service Cricket Club,Ireland,Ireland,bat,Ireland,43,7,41,8
T20,Kenya,Ireland,Civil Service Cricket Club,Ireland,Ireland,bowl,Ireland,67,10,72,6
T20,Bermuda,Canada,Civil Service Cricket Club,Ireland,Canada,bowl,Canada,70,10,71,2
T20,Netherlands,Ireland,Civil Service Cricket Club,Ireland,Ireland,bowl,0,0,0,0,0
T20,Canada,Zimbabwe,Maple Leaf North-West Ground,Canada,Zimbabwe,bowl,0,135,7,135,9
T20,Sri Lanka,Pakistan,Maple Leaf North-West Ground,Canada,Pakistan,bowl,Pakistan,137,9,141,7
T20,Sri Lanka,Canada,Maple Leaf North-West Ground,Canada,Sri Lanka,bat,Sri Lanka,153,7,138,10
T20,New Zealand,West Indies,Eden Park,New Zealand,New Zealand,bat,0,155,7,155,8
T20,Australia,South Africa,Melbourne Cricket Ground,Australia,Australia,bat,Australia,182,9,130,10
T20,South Africa,Australia,Brisbane Cricket Ground,Australia,South Africa,bat,Australia,157,5,161,4
